/home/upphill/Documents/DD2424/Assignmentsw/Assignment2/cifar10-twolayer-classifer/cifar10-twolayer-classifer/src/main.py:11: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  batch = pickle.load(fo, encoding='bytes')
-- Gradient check (lam=0) --
  Layer 1 W: abs=2.78e-17 rel=4.22e-16
  Layer 1 b: abs=1.39e-17 rel=3.20e-16
  Layer 2 W: abs=2.22e-16 rel=1.44e-16
  Layer 2 b: abs=1.11e-16 rel=9.69e-17

-- Overfit sanity check (100 examples, lam=0) --
  step 1620/3600 | loss: 1.7824/1.7940 | acc: 0.3786/0.3764 | eta: 0.020008
  step 1800/3600 | loss: 1.7761/1.7887 | acc: 0.3859/0.3742 | eta: 0.000010
  step 1980/3600 | loss: 1.7792/1.7913 | acc: 0.3881/0.3804 | eta: 0.020008
  step 2160/3600 | loss: 1.7950/1.8052 | acc: 0.3787/0.3728 | eta: 0.040006
  step 2340/3600 | loss: 1.8013/1.8094 | acc: 0.3734/0.3704 | eta: 0.060004
  step 2520/3600 | loss: 1.8059/1.8143 | acc: 0.3616/0.3530 | eta: 0.080002
  step 2700/3600 | loss: 1.8414/1.8567 | acc: 0.3455/0.3434 | eta: 0.100000
  step 2880/3600 | loss: 1.8079/1.8176 | acc: 0.3667/0.3608 | eta: 0.080002
  step 3060/3600 | loss: 1.8126/1.8243 | acc: 0.3478/0.3348 | eta: 0.060004
  step 3240/3600 | loss: 1.7847/1.7978 | acc: 0.3740/0.3682 | eta: 0.040006
  step 3420/3600 | loss: 1.7786/1.7920 | acc: 0.3870/0.3780 | eta: 0.020008
  lam=1.00e-01 | best val acc: 38.04% | final val acc: 37.80%

-- Coarse search summary --
  lam=1.00e-05 | best=50.56% | final=49.88%
  lam=3.73e-05 | best=50.80% | final=50.80%
  lam=1.39e-04 | best=51.10% | final=50.96%
